Sex,Age,Activity_Calories,Active_Energy,Resting_Energy,Steps,Walking_Running,Flights_Climbed,Cardio_VO2_Max,Cardio_Recovery,Calories_Needed,Carbs_Needed,Protein_Needed,Fats_Needed,Saturated_Fat,Cholesterol,Water_Needed
0,64,2743,861,1860,18766,750.64,10,42.008212949156835,13.055202024584503,4958.25,681.7593750000001,185.934375,137.72916666666666,13.772916666666667,2.754583333333333,44.800000000000004
1,29,1189,2672,1810,13695,547.8000000000001,3,57.70767005189448,10.0,4357.0,599.0875000000001,163.3875,121.02777777777777,12.102777777777778,2.4205555555555556,20.299999999999997
0,79,2510,2877,2010,19796,791.84,4,32.953067879490995,17.171499306431215,5229.25,719.021875,196.09687499999998,145.25694444444446,14.525694444444447,2.905138888888889,55.300000000000004
0,33,3641,2508,1550,11775,471.0,6,57.74383792640657,10.0,6268.0,861.85,235.04999999999998,174.11111111111111,17.41111111111111,3.4822222222222226,23.1
0,41,3186,286,1630,16559,662.36,8,53.03029057319016,10.0,5257.5,722.9062500000001,197.15625,146.04166666666666,14.604166666666666,2.9208333333333334,28.7
1,36,1922,2712,1880,8146,325.84000000000003,9,54.45227204259892,10.0,5100.0,701.25,191.25,141.66666666666666,14.166666666666666,2.833333333333333,25.2
0,25,2501,2323,1470,2371,94.84,10,58.7884782409459,10.0,5081.75,698.740625,190.56562499999998,141.15972222222223,14.115972222222224,2.823194444444445,17.5
0,48,1171,2718,1700,7565,302.6,5,50.424633734224834,10.0,3850.5,529.44375,144.39374999999998,106.95833333333333,10.695833333333333,2.1391666666666667,33.6
0,38,3774,2661,1600,10802,432.08,5,53.88510200845279,10.0,6439.25,885.396875,241.47187499999998,178.86805555555554,17.886805555555554,3.5773611111111108,26.6
1,34,1671,2973,1860,10307,412.28000000000003,7,54.10573805055347,10.0,4914.25,675.709375,184.28437499999998,136.50694444444446,13.650694444444447,2.7301388888888893,23.8
0,40,1995,2704,1620,9437,377.48,10,51.345598763190054,10.0,4671.0,642.2625,175.1625,129.75,12.975000000000001,2.595,28.0
0,54,1443,1508,1760,2446,97.84,3,47.01566544468123,10.0,3820.0,525.25,143.25,106.11111111111111,10.611111111111112,2.1222222222222222,37.800000000000004
0,71,2746,1900,1930,3391,135.64000000000001,2,34.720727810437275,17.226380602315107,5221.0,717.8875,195.7875,145.02777777777777,14.502777777777778,2.9005555555555556,49.699999999999996
0,33,1949,2900,1550,13516,540.64,6,58.4604609351441,10.0,4674.0,642.6750000000001,175.275,129.83333333333334,12.983333333333334,2.596666666666667,23.1
1,23,3039,2919,1750,19724,788.96,4,59.15175839857396,10.0,6268.75,861.9531250000001,235.078125,174.13194444444446,17.413194444444446,3.4826388888888893,16.1
0,25,1395,694,1470,17454,698.16,1,61.48034262698469,10.0,3568.5,490.66875000000005,133.81875,99.125,9.912500000000001,1.9825000000000002,17.5
1,42,2689,1847,1940,13891,555.64,1,50.97387658385841,10.0,5650.75,776.9781250000001,211.903125,156.96527777777777,15.696527777777778,3.1393055555555556,29.4
1,35,1836,2142,1870,16998,679.92,10,54.96108091643733,10.0,4871.5,669.8312500000001,182.68125,135.31944444444446,13.531944444444447,2.706388888888889,24.5
1,42,664,1268,1940,7969,318.76,5,53.40325288732289,10.0,3481.0,478.63750000000005,130.5375,96.69444444444444,9.669444444444444,1.933888888888889,29.4
0,29,2861,1624,1510,11265,450.6,7,57.56455594794607,10.0,5267.0,724.2125000000001,197.5125,146.30555555555554,14.630555555555555,2.926111111111111,20.299999999999997
1,32,2568,796,1840,17861,714.44,0,56.68746876836617,10.0,5267.0,724.2125000000001,197.5125,146.30555555555554,14.630555555555555,2.926111111111111,22.400000000000002
0,76,1605,649,1980,7454,298.16,10,32.24649831204585,16.908799727696078,3767.25,517.996875,141.271875,104.64583333333333,10.464583333333334,2.0929166666666665,53.2
1,43,3702,684,1950,5150,206.0,5,48.51173736933727,10.0,6373.0,876.2875,238.98749999999998,177.02777777777777,17.70277777777778,3.5405555555555557,30.099999999999998
1,58,2253,845,2100,17386,695.44,1,42.22399936500863,13.580341379324746,4964.25,682.584375,186.15937499999998,137.89583333333334,13.789583333333335,2.757916666666667,40.599999999999994
1,62,3531,2867,2140,8414,336.56,1,42.40291546459384,10.0,6747.75,927.8156250000001,253.04062499999998,187.4375,18.743750000000002,3.7487500000000002,43.4
1,43,2852,1829,1950,6657,266.28000000000003,6,49.106324466795684,10.0,5809.25,798.771875,217.84687499999998,161.36805555555554,16.136805555555554,3.227361111111111,30.099999999999998
1,64,2438,861,2160,12486,499.44,9,38.56880979402275,10.863304946046092,5153.25,708.5718750000001,193.246875,143.14583333333334,14.314583333333335,2.862916666666667,44.800000000000004
1,49,870,957,2010,16894,675.76,0,47.554803040179515,10.0,3609.25,496.271875,135.34687499999998,100.25694444444444,10.025694444444445,2.005138888888889,34.3
1,27,2380,488,1790,7480,299.2,5,59.73918519304113,10.0,5002.0,687.7750000000001,187.575,138.94444444444446,13.894444444444446,2.7788888888888894,18.900000000000002
1,33,1352,920,1850,10033,401.32,6,57.060359961239655,10.0,4082.0,561.2750000000001,153.075,113.38888888888889,11.338888888888889,2.267777777777778,23.1
0,24,883,837,1460,2983,119.32000000000001,7,58.89225337049187,10.0,3092.25,425.18437500000005,115.959375,85.89583333333333,8.589583333333334,1.7179166666666665,16.8
0,34,2431,2482,1560,10543,421.72,6,53.397940736860214,10.0,5051.5,694.5812500000001,189.43125,140.31944444444446,14.031944444444447,2.8063888888888893,23.8
1,40,2992,2663,1920,11916,476.64,5,54.70198516972772,10.0,6157.75,846.6906250000001,230.91562499999998,171.04861111111111,17.104861111111113,3.4209722222222223,28.0
1,43,924,698,1950,12143,485.72,8,49.803331912810506,10.0,3598.5,494.79375000000005,134.94375,99.95833333333333,9.995833333333334,1.9991666666666665,30.099999999999998
1,38,2708,833,1900,17581,703.24,2,55.266732488043615,10.0,5416.25,744.7343750000001,203.109375,150.45138888888889,15.04513888888889,3.009027777777778,26.6
0,39,3749,1873,1610,3907,156.28,10,54.81745725231409,10.0,6217.25,854.871875,233.146875,172.70138888888889,17.27013888888889,3.4540277777777777,27.3
1,75,1128,2230,2270,11216,448.64,5,36.36261295881272,15.994839974823716,4185.5,575.50625,156.95624999999998,116.26388888888889,11.62638888888889,2.3252777777777776,52.5
0,24,1394,314,1460,10737,429.48,3,58.844168033262854,10.0,3472.5,477.46875000000006,130.21875,96.45833333333333,9.645833333333334,1.9291666666666667,16.8
0,31,3037,873,1530,15757,630.28,1,58.609007296271,10.0,5255.25,722.5968750000001,197.071875,145.97916666666666,14.597916666666666,2.919583333333333,21.7
0,32,3564,1936,1540,6174,246.96,0,57.846252796207935,10.0,6048.0,831.6,226.79999999999998,168.0,16.8,3.36,22.400000000000002
0,70,2874,1457,1920,17708,708.32,0,37.983614950531084,12.145433795058455,5238.25,720.2593750000001,196.434375,145.50694444444446,14.550694444444446,2.910138888888889,49.0
0,24,1097,2453,1460,11297,451.88,10,59.686010175844764,10.0,3710.25,510.15937500000007,139.134375,103.0625,10.30625,2.0612500000000002,16.8
1,26,3562,2494,1780,3990,159.6,9,58.31254302133272,10.0,6685.5,919.25625,250.70624999999998,185.70833333333334,18.570833333333336,3.714166666666667,18.2
1,68,2836,346,2200,7596,303.84000000000003,2,36.609446060401794,12.238313981531565,5422.5,745.5937500000001,203.34375,150.625,15.0625,3.0125,47.6
1,65,1092,2365,2170,18374,734.96,3,40.04878533450436,12.339574059255735,4183.25,575.1968750000001,156.871875,116.20138888888889,11.620138888888889,2.324027777777778,45.5
1,25,2187,611,1770,5775,231.0,1,60.42630437754923,10.0,4839.75,665.465625,181.490625,134.4375,13.443750000000001,2.68875,17.5
1,67,1072,1887,2190,17706,708.24,10,38.29669495257894,15.224178998900916,4043.75,556.015625,151.640625,112.32638888888889,11.23263888888889,2.2465277777777777,46.900000000000006
0,76,3925,2610,1980,16645,665.8000000000001,10,34.37679533840434,16.55768815625232,6577.5,904.4062500000001,246.65625,182.70833333333334,18.270833333333336,3.654166666666667,53.2
1,40,2575,1732,1920,15668,626.72,10,51.817572286846335,10.0,5508.0,757.35,206.54999999999998,153.0,15.3,3.06,28.0
1,46,3501,336,1980,17960,718.4,0,50.2050302866035,10.0,6085.0,836.6875000000001,228.1875,169.02777777777777,16.90277777777778,3.3805555555555555,32.2
0,35,2590,218,1570,13357,534.28,3,57.00629603898282,10.0,4644.5,638.6187500000001,174.16875,129.01388888888889,12.901388888888889,2.580277777777778,24.5
1,48,2204,2442,2000,6435,257.4,6,46.819601310234724,10.0,5314.5,730.7437500000001,199.29375,147.625,14.762500000000001,2.9525,33.6
0,47,2970,2577,1690,17804,712.16,9,48.40704404951562,10.0,5614.25,771.959375,210.53437499999998,155.95138888888889,15.59513888888889,3.1190277777777777,32.9
1,69,676,2159,2210,19429,777.16,10,36.204343019754305,13.165333570651713,3715.75,510.91562500000003,139.340625,103.21527777777777,10.321527777777778,2.0643055555555554,48.3
0,56,1028,2422,1780,16626,665.04,5,45.12471885203916,10.0,3633.5,499.60625000000005,136.25625,100.93055555555556,10.093055555555557,2.0186111111111114,39.2
1,52,2133,1201,2040,9951,398.04,5,47.64435254744298,10.0,4933.25,678.3218750000001,184.996875,137.03472222222223,13.703472222222224,2.7406944444444448,36.4
1,35,1465,648,1870,8449,337.96,10,57.15956366298728,10.0,4127.0,567.4625000000001,154.7625,114.63888888888889,11.463888888888889,2.292777777777778,24.5
0,76,2017,2148,1980,5199,207.96,8,33.39435963130482,15.503562420468251,4554.0,626.1750000000001,170.775,126.5,12.65,2.5300000000000002,53.2
0,59,697,1145,1810,8768,350.72,1,45.25105602932715,10.0,2983.25,410.19687500000003,111.871875,82.86805555555556,8.286805555555556,1.6573611111111113,41.3
0,56,3157,1577,1780,11130,445.2,3,42.316313359103376,12.205411377950494,5551.25,763.2968750000001,208.171875,154.20138888888889,15.42013888888889,3.0840277777777776,39.2
0,34,3389,1722,1560,10633,425.32,4,56.01506931682294,10.0,5819.5,800.1812500000001,218.23125,161.65277777777777,16.165277777777778,3.2330555555555556,23.8
0,31,1352,340,1530,6225,249.0,0,54.78566359671665,10.0,3437.0,472.58750000000003,128.8875,95.47222222222223,9.547222222222222,1.9094444444444445,21.7
0,48,2037,2120,1700,18980,759.2,7,50.46887093880972,10.0,4567.0,627.9625000000001,171.2625,126.86111111111111,12.686111111111112,2.5372222222222223,33.6
0,41,2569,292,1630,8054,322.16,7,52.14904528535027,10.0,4642.0,638.2750000000001,174.075,128.94444444444446,12.894444444444446,2.5788888888888892,28.7
0,52,3683,438,1740,3505,140.20000000000002,5,47.34674175381398,10.03566149932387,5792.5,796.4687500000001,217.21875,160.90277777777777,16.09027777777778,3.2180555555555554,36.4
1,61,1580,404,2130,11053,442.12,4,43.657869629552266,11.954589735781216,4181.0,574.8875,156.7875,116.13888888888889,11.613888888888889,2.3227777777777776,42.699999999999996
1,77,3637,2807,2290,17749,709.96,7,32.25155311241984,17.208750377211132,6838.75,940.3281250000001,256.453125,189.96527777777777,18.99652777777778,3.7993055555555557,53.9
0,62,3389,1656,1840,12832,513.28,2,39.19295780969067,11.573661971689038,5803.0,797.9125,217.61249999999998,161.19444444444446,16.119444444444447,3.2238888888888892,43.4
1,51,597,444,2030,18344,733.76,2,48.89440572956426,10.0,3208.0,441.1,120.3,89.11111111111111,8.911111111111111,1.7822222222222224,35.7
1,20,3715,1031,1720,16783,671.32,1,61.57466613729466,10.0,6472.75,890.0031250000001,242.72812499999998,179.79861111111111,17.979861111111113,3.5959722222222226,14.0
1,54,2403,494,2060,3551,142.04,4,43.64489453963583,10.598883720730713,5026.5,691.1437500000001,188.49375,139.625,13.9625,2.7925,37.800000000000004
1,60,934,2887,2120,17154,686.16,2,42.34230618543543,11.578741839201605,4155.75,571.4156250000001,155.840625,115.4375,11.543750000000001,2.30875,42.0
0,57,1136,1055,1790,15799,631.96,2,44.49153037848009,10.213187973878295,3399.75,467.46562500000005,127.490625,94.4375,9.44375,1.88875,39.9
1,43,3657,2264,1950,8852,354.08,5,48.65485301711255,10.0,6723.0,924.4125,252.11249999999998,186.75,18.675,3.735,30.099999999999998
0,72,1087,270,1940,3449,137.96,7,35.37447829128544,15.890290627462923,3154.5,433.74375000000003,118.29374999999999,87.625,8.762500000000001,1.7525,50.4
1,40,843,1492,1920,4659,186.36,1,50.16399937138448,10.0,3716.0,510.95000000000005,139.35,103.22222222222223,10.322222222222223,2.0644444444444447,28.0
1,61,1817,1548,2130,9509,380.36,3,41.601676945977495,12.94729028775637,4704.0,646.8000000000001,176.4,130.66666666666666,13.066666666666666,2.6133333333333333,42.699999999999996
1,56,2479,504,2080,4721,188.84,10,46.475500145331225,10.0,5105.0,701.9375,191.4375,141.80555555555554,14.180555555555555,2.836111111111111,39.2
0,32,1070,1230,1540,14444,577.76,6,58.91326205746785,10.0,3377.5,464.40625000000006,126.65625,93.81944444444444,9.381944444444445,1.8763888888888889,22.400000000000002
1,73,1110,1537,2250,11637,465.48,0,36.68523776751814,16.53777954734827,3994.25,549.209375,149.78437499999998,110.95138888888889,11.09513888888889,2.219027777777778,51.1
0,66,2227,1016,1880,12490,499.6,0,37.80818846892296,15.880864609890729,4481.0,616.1375,168.0375,124.47222222222223,12.447222222222223,2.4894444444444446,46.2
1,21,2790,1326,1730,4925,197.0,9,64.02924694999653,10.0,5621.5,772.9562500000001,210.80625,156.15277777777777,15.615277777777777,3.1230555555555557,14.7
0,46,2354,1020,1680,11824,472.96000000000004,6,49.581239116000305,10.0,4609.0,633.7375000000001,172.8375,128.02777777777777,12.802777777777777,2.5605555555555557,32.2
1,39,3108,392,1910,8240,329.6,6,51.26874656051459,10.0,5706.0,784.575,213.975,158.5,15.850000000000001,3.17,27.3
0,42,1459,1976,1640,18896,755.84,0,53.608633347258305,10.0,3953.0,543.5375,148.23749999999998,109.80555555555556,10.980555555555556,2.196111111111111,29.4
