workout_type,duration_planned,intensity_level,time_of_day,previous_workout_strain,current_macronutrients_carbs,current_macronutrients_proteins,current_macronutrients_fats,hydration_status,recent_meal_timing,caloric_balance,micronutrient_levels_calcium,micronutrient_levels_iron,micronutrient_levels_vitamin_d,recovery_score,sleep_quality,heart_rate_variability,body_fat_percentage,lean_mass_kg,training_age,food_category,timing_window,portion_size_macro_ratio,portion_size_total_calories,portion_size_nutrient_timing,portion_size_hydration
cardio,87,10,morning,7.967580634310244,342.5668726905986,243.75176939022498,78.93272518662903,2.0387819039202943,within 1 hour,-329.9123670194111,267.11548716619757,10.186465494953675,343.32829799000433,7,2,68.37094553009358,12.259965286839448,80.09713356096645,18,complete proteins,post-workout 2-4hr,0.5244842173567,311.30256374433003,after,1.3681213918702104
strength,110,8,evening,2.8818633662245574,215.67002613871315,94.78490515506834,133.9421990651174,3.2546510082243496,2-3 hours,-109.48236660137354,801.8988878589805,6.7330116375458555,699.5518620176844,3,10,30.89782241153284,13.266406991790273,94.59500133045051,20,complete proteins,pre-workout 60-90min,0.4027281425578665,806.0445927873194,during,1.7535602392187923
HIIT,93,9,afternoon,6.484598229303958,478.2562104154153,169.32084877162433,26.831597063961382,3.8557784263510313,1-2 hours,394.81785257758384,763.350940703517,8.892364646720482,684.3626563942742,1,7,34.628566596686,20.267561995946387,73.89892384378898,17,BCAAs,pre-workout 60-90min,0.33782253675310653,549.6263363825324,after,1.0431046840402418
HIIT,65,4,evening,7.757485516967031,364.79182640488347,54.12407969116224,120.63597962370119,1.5701559510270595,2-3 hours,216.52377189925323,349.54760470002316,29.109106103710122,879.2893672005864,5,1,52.18163024268452,16.478830749276707,50.331746964694005,8,slow-release carbs,pre-workout 30-60min,0.7973546192686799,431.4419592416513,during,1.582082483390616
strength,109,3,morning,7.139998931404968,94.42522101392098,144.30808721657826,149.03098964263708,3.815378530206273,within 1 hour,410.76153633427145,872.5957774426798,39.31320359958359,482.99292379452663,10,7,44.2575722999827,12.61206729240535,95.81404203097844,11,BCAAs,pre-workout 0-30min,0.5575187229657924,919.4667379830904,during,1.314194555190888
cardio,119,4,evening,5.879698725581849,288.4105210196323,77.47660444837359,147.59676094313824,2.874014181854835,within 1 hour,295.77640542955066,846.0870712816766,12.065027681693621,888.6308519779999,6,8,70.28214792159613,20.427030294396623,77.92220463223784,11,slow-release carbs,post-workout immediate,0.8870697848143391,643.189364927865,during,1.8638557630374866
HIIT,44,3,afternoon,6.162156888274678,410.1344951256845,70.95313036565406,126.70130964592558,3.476914858357759,within 1 hour,173.66445213869451,384.61234415511376,10.100264139150433,845.8017708909766,3,10,70.55718761092425,20.720528958140388,51.719566472448776,1,high glycemic carbs,pre-workout 30-60min,0.42623162203195974,510.72905192650796,after,1.4343478000547916
HIIT,63,4,evening,9.73720208119746,170.99048633978452,181.05432217741557,103.67220366892019,3.1001703528669298,2-3 hours,-313.89347768296375,426.879217305514,16.641581380404368,310.8881219892906,3,6,41.89843493926597,23.10993096890369,84.99045318071876,5,slow-release carbs,intra-workout,0.9875851227456885,422.66784060857503,during,1.3263898210112477
strength,34,8,afternoon,7.298549892948822,372.1966508619902,37.3792152968994,100.90198156174765,3.7823837490754126,2-3 hours,-460.6488562596167,786.9752510990938,6.090211360959999,504.1072678280165,4,3,41.51540569252484,22.573151770095734,59.22177867749326,16,slow-release carbs,pre-workout 30-60min,0.7391594206315695,920.8061361981506,before,1.7965164959308746
cardio,117,8,morning,0.8301531279653596,171.84560490285642,99.01758790326626,125.46127295095681,3.275449760936417,2-3 hours,310.1125244054343,286.64283803427014,31.643694080122824,484.98797807859813,7,1,42.011220177796176,16.33512245288769,52.80789211249127,3,electrolyte-rich foods,intra-workout,0.7379614599078852,541.3670816841491,after,1.0337660451598558
